氏名,プロフィール
棚橋　泰文,"棚橋　泰文（たなはし　やすふみ）
小選挙区（岐阜県第二区）選出、自由民主党・無所属の会
昭和三十八年二月十一日岐阜県に生まれる、東京大学法学部卒業○通商産業省機械情報産業局電子政策課課長補佐、弁護士○国務大臣（科学技術政策・食品安全・食育・情報通信技術（IT）担当）、国家公安委員会委員長・国務大臣（防災・海洋政策・国土強靭化・領土問題担当）○自由民主党青年局長、国際局長、政務調査会長代理、司法制度調査会長、幹事長代理、党・政治制度改革実行本部長、行政改革推進本部長○衆議院政治倫理の確立及び公職選挙法改正に関する特別委員長、国家基本政策委員長、予算委員長○当選十回（41 42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
谷　公一,"谷　公一（たに　こういち）
小選挙区（兵庫県第五区）選出、自由民主党・無所属の会
地域活性化・こども政策・デジタル社会形成に関する特別委員長
昭和二十七年一月兵庫県美方郡香美町（旧村岡町）に生まれる、明治大学政治経済学部政治学科卒業○兵庫県防災局長、兵庫県政策室長○国土交通大臣政務官、復興副大臣、復興大臣補佐官、国家公安委員会委員長、内閣府特命担当大臣（防災・海洋政策）、国土強靱化・領土問題担当○自民党兵庫五区支部長、副幹事長、国対副委員長、災害対策特別委員長、総務会副会長、報道局長、団体総局長、過疎対策特別委員長、政務調査会会長代理、税制調査会幹事、兵庫県支部連合会会長○衆議院議院運営委員会（議事進行係）、東日本大震災復興特別委員長、国土交通委員長、農林水産委員会筆頭理事、国土交通委員会筆頭理事、予算委員会筆頭理事、地域活性化・こども政策・デジタル社会形成に関する特別委員長○当選八回（43 44 45 46 47 48 49 50）
（令和7年3月現在）"
田野瀬　太道,"田野瀬　太道（たのせ　たいどう）
小選挙区（奈良県第三区）選出、自由民主党・無所属の会
昭和四十九年七月奈良県五條市に生まれる、早稲田大学第二文学部卒業、衆議院議員秘書、社団法人橿原青年会議所理事長○文部科学大臣政務官兼内閣府大臣政務官兼復興大臣政務官、文部科学副大臣兼内閣府副大臣○衆議院議事進行係、文部科学委員長○自民党国会対策副委員長、団体総局次長○当選五回（46 47 48 49 50）
（令和7年3月現在）"
田畑　裕明,"田畑　裕明（たばた　ひろあき）
小選挙区（富山県第一区）選出、自由民主党・無所属の会
昭和四十八年一月富山県富山市に生まれる、獨協大学経済学部卒業、銀行入行、富山市議会議員、富山県議会議員、厚生労働大臣政務官、総務副大臣、自由民主党厚生労働部会長、衆議院厚生労働委員長となり、現在、自由民主党富山県第一選挙区支部長である○当選五回（46 47 48 49 50）
（令和7年3月現在）"
玉木　雄一郎,"玉木　雄一郎（たまき　ゆういちろう）
小選挙区（香川県第二区）選出、国民民主党・無所属クラブ
昭和四十四年、香川県大川郡寒川町（現さぬき市）に生まれる、東京大学法学部卒業、米国ハーバード大学大学院（ケネディスクール）修了○財務省主計局主査、大阪国税局総務課長、外務省中近東アフリカ局、内閣府特命担当大臣秘書専門官○国民民主党代表○著書「令和ニッポン改造論」、「＃日本ヤバイ」○当選六回（45 46 47 48 49 50）
（令和7年3月現在）"
田村　貴昭,"田村　貴昭（たむら　たかあき）
比例代表（九州）選出、日本共産党
一九六一年四月三十日生、北九州大学法学部政治学科卒○北九州市議会議員（二期）○二〇二〇年一月日本共産党中央委員就任○衆議院予算委員、厚生労働委員○党衆議院国会対策副委員長○当選四回（47 48 49 50）
（令和7年3月現在）"
田村　智子,"田村　智子（たむら　ともこ）
比例代表（東京都）選出、日本共産党
一九六五年七月四日、長野県小諸市生まれ○長野県立野沢北高校、早稲田大学第一文学部卒業○日本民主青年同盟中央常任委員、日本共産党石井郁子衆院議員、同井上美代参院議員の秘書などを経て、二〇一〇年、比例代表で参議院議員初当選。厚生労働委員、文教科学委員、内閣委員、国土交通委員、決算委員会理事、議院運営委員会理事、復興・原子力特別委員等を歴任。二〇二四年総選挙で比例東京ブロックより衆議院議員初当選。現在、財務金融委員○党東京都委員会副委員長、党准中央委員、党中央委員、党女性委員会副責任者、党幹部会副委員長、党政策委員長を経て、二〇二四年党幹部会委員長○著書『希望の明日をつくる』『子どもの貧困の解決へ』『ジェンダー平等の実現めざして』○当選一回（50）参三回（22 24 26）
（令和7年3月現在）"
田村　憲久,"田村　憲久（たむら　のりひさ）
小選挙区（三重県第一区）選出、自由民主党・無所属の会
昭和三十九年十二月三重県松阪市に生まれる、千葉大学法経学部卒業、会社員、衆議院議員秘書○平成八年十月衆議院議員初当選、令和六年十月十期連続当選○厚生労働大臣政務官、文部科学大臣政務官、総務副大臣、厚生労働大臣二回○自由民主党政務調査会会長代行、三重県支部連合会会長、厚生労働部会長、副幹事長、政務調査会副会長、国会対策委員会副委員長、政務調査会会長代理○衆議院環境委員会理事、厚生労働委員会理事、法務委員会筆頭理事、議院運営委員会理事、議院運営委員会衆議院事務局等の改革に関する小委員長、厚生労働委員長、内閣委員会理事、情報監視審査会会長、裁判官訴追委員会委員長○当選十回（41 42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
丹野　みどり,"丹野　みどり（たんの　みどり）
小選挙区（愛知県第十一区）選出、国民民主党・無所属クラブ
昭和四十八年七月三日愛知県名古屋市に生まれる、旭丘高校、名古屋大学文学部卒業、中部日本放送（CBC）入社、CBCテレビニュースキャスター、CBCラジオパーソナリティ○当選一回（50）
（令和7年3月現在）"
辻　清人,"辻　清人（つじ　きよと）
小選挙区（東京都第二区）選出、自由民主党・無所属の会
内閣府副大臣
昭和五十四年東京都台東区生まれ、四歳でカナダに移住。京都大学経済学部卒業。コロンビア大学国際行政大学院修了。米国戦略国際問題研究所研究員を経て、平成二十四年自民党公認で初当選○自民党副幹事長、国会対策副委員長○外務大臣政務官、外務副大臣、内閣府副大臣○当選五回（46 47 48 49 50）
（令和7年3月現在）"
辻　英之,"辻　英之（つじ　ひでゆき）
小選挙区（福井県第二区）選出、立憲民主党・無所属
昭和四十五年五月八日福井県福井市に生まれる、北海道大学教育学部卒業○NPO法人グリーンウッド自然体験教育センター代表理事、長野県泰阜村政策アドバイザー、公益社団法人日本環境教育フォーラム常務理事、NPO法人こどもたちのアジア連合顧問○NPO法人やんばる・地域活性サポートセンター理事、青森大学社会学部教授、立教大学非常勤講師○著書「奇跡のむらの物語　1000人の子どもが限界集落を救う！」○当選一回（50）
（令和7年3月現在）"
津島　淳,"津島　淳（つしま　じゅん）
小選挙区（青森県第一区）選出、自由民主党・無所属の会
昭和四十一年十月フランス国パリ市に生まれる、学習院大学文学部卒業、株式会社関電工勤務、衆議院議員津島雄二秘書○法務副大臣、国土交通大臣政務官兼内閣府大臣政務官○自由民主党国土交通部会長、財務金融部会長代理○衆議院財務金融委員長、財務金融委理事、農林水産委理事、原子力問題調査特別委理事○当選五回（46 47 48 49 50）
（令和7年3月現在）"
土田　慎,"土田　慎（つちだ　しん）
小選挙区（東京都第十三区）選出、自由民主党・無所属の会
財務大臣政務官
平成二年十月三十日神奈川県茅ケ崎市に生まれる。京都大学経済学部卒業○株式会社リクルートライフスタイル、衆議院議員秘書、参議院議員秘書、参議院参事議長秘書○当選二回（49 50）
（令和7年3月現在）"
土屋　品子,"土屋　品子（つちや　しなこ）
小選挙区（埼玉県第十六区）選出、自由民主党・無所属の会
昭和二十七年二月東京都新宿区に生まれる、聖心女子大学文学部卒業○料理研究家、フラワーアーティスト、短大・大学客員教授○復興大臣、厚生労働副大臣、環境副大臣、外務大臣政務官○自由民主党食育調査会長、総務会副会長、副幹事長、政務調査会副会長、広報副本部長兼広報戦略局長、女性活躍推進本部長○衆議院外務委員長、消費者問題に関する特別委員長、環境委員会筆頭理事、女性政治指導者グローバルフォーラム（WPL）サミット日本実行委員長兼国会議員団長。現在、党国際局長○著書「ブルーミングフォーシーズン」「ブレスオブミャンマー」○当選九回（41 42 43 44 46 47 48 49 50）
（令和7年3月現在）"
堤　かなめ,"堤　かなめ（つつみ　かなめ）
比例代表（九州）選出、立憲民主党・無所属
昭和三十五年十月山口県に生まれる、九州大学文学部卒業、KDD国際電信電話株式会社勤務、九州大学大学院社会学専攻修了、大学教員、NPO法人アジア女性センター設立、福岡県議会議員、立憲民主党福岡県総支部連合会副代表○当選二回（49 50）
（令和7年3月現在）"
角田　秀穂,"角田　秀穂（つのだ　ひでお）
比例代表（南関東）選出、公明党
昭和三十六年三月二十五日東京都葛飾区に生まれる、創価大学法学部卒業、社会保険労務士、船橋市議会議員、公明党千葉県本部副代表○当選三回（47 49 50）
（令和7年3月現在）"
津村　啓介,"津村　啓介（つむら　けいすけ）
比例代表（中国）選出、立憲民主党・無所属
昭和四十六年十月岡山県津山市に生まれる、東京大学法学部政治コース卒業、日本銀行入行、オックスフォード大学経営学修士（MBA）取得○内閣府大臣政務官○衆議院科学技術・イノベーション推進特別委員長、国土交通委筆頭理事、安全保障委筆頭理事など○民主党役員室次長、政調副会長、総括副幹事長、青年委員長。民進党副幹事長、国会対策委員長代理○著書「国会議員の仕事―職業としての政治」（中公新書）○当選七回（43 44 45 46 47 48 50）
（令和7年3月現在）"
手塚　仁雄,"手塚　仁雄（てづか　よしお）
小選挙区（東京都第五区）選出、立憲民主党・無所属
昭和四十一年九月東京都目黒区に生まれる、早稲田大学卒業○平成五年日本新党目黒支部長となり、東京都議会選挙にて最高位そして最年少当選、平成八年民主党の結党に参画、平成十二年衆議院議員初当選○野田佳彦内閣総理大臣補佐官○衆議院国家基本政策委員会理事、予算委員会理事、議院運営委員会野党筆頭理事○立憲民主党国対筆頭副委員長、党幹事長代行、党東京都連幹事長○著書『「小沢一郎日本改造計画」への挑戦状！』（共著）○当選六回（42 43 45 48 49 50）
（令和7年3月現在）"
寺田　学,"寺田　学（てらた　まなぶ）
比例代表（東北）選出、立憲民主党・無所属
昭和五十一年九月秋田県横手市に生まれる、中央大学経済学部卒業○三菱商事株式会社○内閣総理大臣補佐官○民主党青年局長、副幹事長、広報委員長、秋田県連代表。立憲民主党政務調査会長代理、国会対策委員長代理、幹事長代理、秋田県連幹事長○衆議院総務委員会理事、財務金融委員会理事、外務委員会理事、法務委員会理事、地方創生に関する特別委員会理事、政治倫理審査会幹事○当選七回（43 44 45 47 48 49 50）
（令和7年3月現在）"
寺田　稔,"寺田　稔（てらだ　みのる）
比例代表（中国）選出、自由民主党・無所属の会
昭和三十三年一月広島県に生まれる、東京大学法学部卒業、国家公務員上級試験合格○大蔵省入省、ハーバード大学院修了（MPP取得）、長浜税務署長、大蔵省広報室長、徳島県総務部長、財務省主計官（財務・内閣・警察・防衛等担当）、内閣府参事官を経て平成十六年二月退官○自由民主党広島県第五選挙区支部長、衆議院国土交通委員、安全保障委員会理事、防衛大臣政務官○内閣府副大臣（金融）兼復興副大臣、安全保障委員長○総務副大臣兼内閣府副大臣、総務委員会理事、内閣総理大臣補佐官、総務大臣○当選七回（43補 44 46 47 48 49 50）
（令和7年3月現在）"
渡海　紀三朗,"渡海　紀三朗（とかい　きさぶろう）
小選挙区（兵庫県第十区）選出、自由民主党・無所属の会
昭和二十三年二月兵庫県高砂市に生まれる、早稲田大学理工学部建築学科卒業、一級建築士、文部科学大臣、文部科学副大臣、内閣総理大臣補佐官（教育再生担当）、科学技術総括政務次官となる。自民党財務委員長、国際局長、青年局長、政治制度改革実行本部長、科学技術創造立国推進調査会長、文教制度部会長、教育委員会改革に関する小委員会委員長となる。衆議院決算行政監視委員長、科学技術・イノベーション推進特別委員長、政治倫理審査会長、懲罰委員会委員。自民党総務会総務、両院議員総会副会長。衆議院国家基本政策委員会委員長、自民党科学技術・イノベーション戦略調査会長、自民党政務調査会長、現在は、自民党政治改革本部長○当選十一回（38 39 40 42 43 44 46 47 48 49 50）
（令和7年3月現在）"
冨樫　博之,"冨樫　博之（とがし　ひろゆき）
小選挙区（秋田県第一区）選出、自由民主党・無所属の会
総務副大臣
昭和三十年四月二十七日秋田県秋田市太平に生まれる、秋田経済法科大学経済学部卒業、国会議員秘書を経て秋田県議会議員（連続五期）、第六十二代秋田県議会議長となる。自由民主党秋田市支部長、秋田県連政務調査会長を務める。現在秋田市竿燈会顧問○復興副大臣、総務大臣政務官○自由民主党副幹事長、内閣第二部会長、総務部会長代理、経済産業部会・国土交通部会・国防部会副部会長、地方組織・議員総局次長、法務自治関係団体・国土建設関係団体副委員長、選挙対策委員会委員○衆議院経済産業委員会理事、東日本大震災復興特別委員会理事○当選五回（46 47 48 49 50）
（令和7年3月現在）"
徳安　淳子,"徳安　淳子（とくやす　じゅんこ）
比例代表（近畿）選出、日本維新の会
昭和三十七年一月大阪府東大阪市生まれ、関西外国語短期大学米英語学科卒業、兵庫県議会議員、兵庫県議会副議長、兵庫盲導犬協会顧問、兵庫維新の会女性局長○当選一回（50）
（令和7年3月現在）"
永岡　桂子,"永岡　桂子（ながおか　けいこ）
比例代表（北関東）選出、自由民主党・無所属の会
昭和二十八年十二月東京都渋谷区に生まれる、学習院大学法学部卒業、平成十八年農林水産大臣政務官、平成二十六年厚生労働副大臣、平成三十年文部科学副大臣、令和四年文部科学大臣となる。自民党幹事長代理、自民党文化立国調査会長、自民党茨城県第七選挙区支部長。衆議院文部科学委員長、消費者問題特別委員長、議院運営委員会理事、文部科学委員会理事、厚生労働委員会理事、青少年問題特別委員会理事、自民党選挙対策委員長代理、自民党内閣第一部会長、自民党政務調査会副会長、自民党消費者問題調査会事務局長、自民党国会対策副委員長等を歴任○当選七回（44 45 46 47 48 49 50）
（令和7年3月現在）"
中川　宏昌,"中川　宏昌（なかがわ　ひろまさ）
比例代表（北陸信越）選出、公明党
昭和四十五年七月長野県塩尻市に生まれる、創価大学文学部社会学科卒業○株式会社長野銀行勤務、長野県議会議員三期○党中央幹事、党北陸信越方面本部長、党長野県本部代表、党国会対策副委員長○衆議院地域活性化・こども政策・デジタル特別委員会理事、安全保障委員会理事○当選二回（49 50）
（令和7年3月現在）"
中川　康洋,"中川　康洋（なかがわ　やすひろ）
比例代表（東海）選出、公明党
昭和四十三年二月三重県四日市市に生まれる、創価大学法学部卒業、四日市市議会議員、三重県議会議員となる。公明党三重県本部青年局長となり、現在公明党中央幹事、中部方面本部長、三重県本部代表である○当選三回（47 49 50）
（令和7年3月現在）"
長坂　康正,"長坂　康正（ながさか　やすまさ）
比例代表（東海）選出、自由民主党・無所属の会
昭和三十二年四月十日愛知県一宮市（旧尾西市）に生まれる、東海高等学校、青山学院大学経済学部卒業、衆議院議員海部俊樹秘書、内閣総理大臣秘書（内閣官房調査員）、愛知県議会議員当選六回、自民党県議団長、党愛知県連幹事長、衆議院議員となる、内閣府大臣政務官、復興大臣政務官、経済産業副大臣、内閣府副大臣、衆議院国土交通委員長○当選五回（46 47 48 49 50）
（令和7年3月現在）"
中島　克仁,"中島　克仁（なかじま　かつひと）
小選挙区（山梨県第一区）選出、立憲民主党・無所属
昭和四十二年九月山梨県甲府市に生まれる、帝京大学医学部卒業○医師、帝京大学第一外科、東京都梅田病院外科、山梨大学病院第一外科、韮崎市立病院外科、どちペインクリニック勤務を経て、現在ほくと診療所院長○みんなの党山梨県第三区支部長、政調副会長、民主党、無所属、会派社会保障を立て直す国民会議代議士会長を経て、現在立憲民主党政務調査会会長代理である○当選五回（46 47 48 49 50）
（令和7年3月現在）"
長島　昭久,"長島　昭久（ながしま　あきひさ）
比例代表（東京都）選出、自由民主党・無所属の会
内閣総理大臣補佐官
昭和三十七年二月神奈川県横浜市港南区に生まれる、慶應義塾大学大学院法学研究科修士課程修了、米国ジョンズ・ホプキンス大学高等国際問題研究大学院修士課程修了○衆議院議員公設秘書を経て、米国外交問題評議会研究員○中央大学大学院公共政策研究科客員教授、慶應義塾大学法学部非常勤講師、日本スケート連盟会長、日本体育協会理事となる○防衛大臣政務官、内閣総理大臣補佐官（外交及び安全保障担当）、防衛副大臣○希望の党政策調査会長〇衆議院安全保障委員長、拉致問題特別委員長等を歴任○著書『日米同盟の新しい設計図―変貌するアジアの米軍を見据えて』（日本評論社）、『「活米」という流儀―外交・安全保障のリアリズム』（講談社）○当選八回（43 44 45 46 47 48 49 50）
（令和7年3月現在）"
中曽根　康隆,"中曽根　康隆（なかそね　やすたか）
小選挙区（群馬県第一区）選出、自由民主党・無所属の会
昭和五十七年一月十九日に生まれる、慶應義塾高等学校を経て、平成十七年慶應義塾大学法学部卒業、平成二十年米国コロンビア大学国際公共政策大学院卒業○同年JPモルガン証券株式会社入社、平成二十五年同社を退社し、参議院議員中曽根弘文秘書となる○平成二十九年の第四十八回衆議院議員総選挙に自民党北関東比例ブロックから立候補し初当選○令和三年の第四十九回衆議院議員総選挙では群馬県第一区から自民党公認で立候補し再選○防衛大臣政務官○自民党青年局長○当選三回（48 49 50）
（令和7年3月現在）"
中谷　一馬,"中谷　一馬（なかたに　かずま）
小選挙区（神奈川県第七区）選出、立憲民主党・無所属
昭和五十八年八月三十日宮崎県出生、神奈川県川崎市出身、日吉中学校卒業、横浜平沼高校卒業、呉竹鍼灸柔整専門学校卒業、デジタルハリウッド大学大学院MVP（首席）修了○柔道整復師、神奈川県議会議員、世界経済フォーラムGlobal Shapers（U33日本代表）、IT企業（現東証プライム上場）執行役員、第九十四代内閣総理大臣菅直人秘書、立憲民主党青年局長○立憲民主党神奈川県第七区総支部長、立憲民主党神奈川県総支部連合会幹事長、立憲民主党幹事長特別補佐、立憲民主党ネクスト・行政改革・公務員改革担当大臣○科学技術・イノベーション議員連盟事務局長、衆議院決算行政監視委員会筆頭理事、政治倫理審査会幹事○著書「だから政治家になった。」「セイジカ新世代」○当選三回（48 49 50）
（令和7年3月現在）"
中谷　元,"中谷　元（なかたに　げん）
小選挙区（高知県第一区）選出、自由民主党・無所属の会
防衛大臣
昭和三十二年十月十四日高知市に生まれる、防衛大学校本科（理工学専攻）卒業○陸上自衛隊二等陸尉、厚生大臣秘書官、国土政務次官、郵政政務次官、自治総括政務次官、国務大臣防衛庁長官、安全保障法制担当大臣、防衛大臣、内閣総理大臣補佐官○自由民主党憲法改正推進本部長代理、政務調査会長代理、総務会総務、安全保障調査会長、林政調査会長、政務調査会副会長、副幹事長、国会対策副委員長、広報局長、組織局長○衆議院総務委員長、外務委員会理事、安全保障委員会理事、イラク人道復興支援特別委員会理事、海賊テロ対策特別委員会理事○平成二十七年二月永年在職議員として衆議院より表彰される○著書「右でも左でもない政治」「防衛省の真実」○当選十二回（39 40 41 42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
中谷　真一,"中谷　真一（なかたに　しんいち）
比例代表（南関東）選出、自由民主党・無所属の会
昭和五十一年九月三十日大阪府寝屋川市に生まれる、防衛大学校理工学部卒業、陸上自衛隊幹部候補生学校、陸上自衛隊第一空挺団、参議院議員秘書、現在衆議院議員である○経済産業副大臣○外務大臣政務官○当選五回（46 47 48 49 50）
（令和7年3月現在）"
中司　宏,"中司　宏（なかつか　ひろし）
小選挙区（大阪府第十一区）選出、日本維新の会
昭和三十一年三月大阪府枚方市に生まれる、早稲田大学第一文学部卒業○産経新聞記者、大阪府議会議員、府議会私学振興議員連盟会長、関西広域連合議会議員、枚方市長、大阪府市長会会長、全国青年市長会会長、道路整備促進期成同盟会全国協議会会長○党国会対策委員長代理○衆議院議院運営委員会理事、衆議院情報監視審査会幹事○当選二回（49 50）
（令和7年3月現在）"
長妻　昭,"長妻　昭（ながつま　あきら）
小選挙区（東京都第二十七区）選出、立憲民主党・無所属
昭和三十五年六月東京都練馬区に生まれる、東京都立練馬高校卒業、慶應義塾大学法学部法律学科卒業○日本電気株式会社、日経BP社日経ビジネス誌記者○厚生労働大臣、年金改革担当大臣○民主党社会保障と税の一体改革調査会長、代表代行。民進党選対委員長。立憲民主党政務調査会長、選対委員長、代表代行、都連会長○衆議院予算委員会理事、厚生労働委員長○著作「招かれざる大臣」（朝日新書）「闘う政治」（講談社）「消えた年金を追って」（リヨン社）「年金浪費」（グラフ社）○当選九回（42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
長友　慎治,"長友　慎治（ながとも　しんじ）
比例代表（九州）選出、国民民主党・無所属クラブ
昭和五十二年六月、宮崎県都城市に生まれる、宮崎市清武町出身、宮崎市立加納小学校、清武中学校、宮崎県立宮崎南高校、早稲田大学法学部卒業○日向市産業支援センター「ひむか-Biz」センター長、NPO法人「フードバンク日向」理事長○国民民主党宮崎県第二区総支部長○当選二回（49 50）
（令和7年3月現在）"
長友　よしひろ,"長友　よしひろ（ながとも　よしひろ）
比例代表（南関東）選出、立憲民主党・無所属
昭和四十五年十二月神奈川県相模原市に生まれる、法政大学法学部卒業、衆議院議員藤井裕久先生秘書、相模原市議会議員二期、神奈川県議会議員四期、社会福祉法人理事○当選一回（50）
（令和7年3月現在）"
中西　健治,"中西　健治（なかにし　けんじ）
小選挙区（神奈川県第三区）選出、自由民主党・無所属の会
昭和三十九年一月東京都豊島区に生まれる、東京大学法学部卒業○JPモルガン証券会社入社、同社取締役副社長○財務副大臣○自由民主党行政改革推進本部副部会長、法務部会部会長、財務金融部会部会長、副幹事長○参議院財政金融委員長、参議院法務委員会理事、衆議院財務金融委員会理事、衆議院決算行政監視委員会筆頭理事○当選二回（49 50）参二回（22 24）
（令和7年3月現在）"
中野　英幸,"中野　英幸（なかの　ひでゆき）
比例代表（北関東）選出、自由民主党・無所属の会
昭和三十六年九月埼玉県川越市に生まれる、日本大学通信教育部法学部政治経済学科中退○埼玉県議会議員（三期）○埼玉県議会企画財政委員長、産業労働企業委員長、経済・雇用対策特別委員長○有限会社くらづくり本舗社長○内閣府大臣政務官兼復興大臣政務官、法務大臣政務官○当選二回（49 50）
（令和7年3月現在）"
中野　洋昌,"中野　洋昌（なかの　ひろまさ）
小選挙区（兵庫県第八区）選出、公明党
国土交通大臣
昭和五十三年一月京都市中京区に生まれる、東京大学教養学部卒業、米コロンビア大学国際公共政策大学院修了○国土交通省課長補佐○公明党国会対策副委員長○衆議院原子力問題調査特別委員会理事、文部科学委員、厚生労働委員、予算委員、東日本大震災復興特別委員○当選五回（46 47 48 49 50）
（令和7年3月現在）"
中村　はやと,"中村　はやと（なかむら　はやと）
小選挙区（茨城県第七区）選出、無所属
昭和六十一年十月茨城県猿島郡境町に生まれる、成蹊大学法学部卒業、岩井自動車学校総務部長、衆議院議員中村喜四郎秘書、茨城県議会議員二期、衆議院議員初当選（第五十回衆議院議員総選挙）○当選一回（50）
（令和7年3月現在）"
中村　裕之,"中村　裕之（なかむら　ひろゆき）
比例代表（北海道）選出、自由民主党・無所属の会
文部科学委員長
昭和三十六年二月北海道浦河郡浦河町に生まれ、北海道余市郡余市町に育つ。北海道立小樽潮陵高等学校、北海学園大学経済学部卒業○北海道総務部札幌北道税事務所、中村建設株式会社、同社取締役を経て代表取締役となる。平成十五年四月北海道議会議員初当選、以後十九年、二十三年当選。北海道議会文教委員長等歴任。日本青年会議所北海道地区道南ブロック協議会会長、北海道PTA連合会会長等を歴任。文部科学大臣政務官、農林水産副大臣、自民党政調文部科学部会長、北海道支部連合会会長○当選五回（46 47 48 49 50）
（令和7年3月現在）"
仁木　博文,"仁木　博文（にき　ひろぶみ）
小選挙区（徳島県第一区）選出、自由民主党・無所属の会
厚生労働副大臣
昭和四十一年五月二十三日徳島県阿南市宝田町に生まれる、東京大学教養学部卒業、徳島大学医学部卒業、医師となる。徳島大学大学院医学博士取得、自由民主党徳島県第一選挙区支部長○当選三回（45 49 50）
（令和7年3月現在）"
西岡　秀子,"西岡　秀子（にしおか　ひでこ）
小選挙区（長崎県第一区）選出、国民民主党・無所属クラブ
昭和三十九年三月長崎県長崎市に生まれる、学習院大学法学部卒業○国会議員秘書、会社員、会社役員○国民民主党長崎県総支部連合会代表、党長崎県第一区総支部長○衆議院国土交通委員会理事、外務委員会理事、裁判官訴追委員会委員○当選三回（48 49 50）
（令和7年3月現在）"
西岡　義高,"西岡　義高（にしおか　よしたか）
比例代表（南関東）選出、国民民主党・無所属クラブ
昭和五十二年五月生まれ、神奈川県横浜市出身、駒澤大学文学部卒業○元会社員○衆議院文部科学委員、消費者問題に関する特別委員○当選一回（50）
（令和7年3月現在）"
西川　厚志,"西川　厚志（にしかわ　あつし）
小選挙区（愛知県第五区）選出、立憲民主党・無所属
昭和四十四年五月生まれ、愛知県名古屋市出身、早稲田大学第二文学部英米文学科卒業○赤松広隆衆議院議員秘書、愛知県議会議員（五期）、愛知県美容業生活衛生同業組合中川支部顧問、愛知県理容生活衛生同業組合中川支部顧問、愛知県電機商業組合中川支部顧問○当選一回（50）
（令和7年3月現在）"
西川　将人,"西川　将人（にしかわ　まさひと）
比例代表（北海道）選出、立憲民主党・無所属
昭和四十三年十一月北海道旭川市に生まれる、北海道大学工学部卒業○日本航空運航乗務員、旭川市長、旭川空港ビル社長○立憲民主党北海道第六区総支部代表○当選一回（50）
（令和7年3月現在）"
西園　勝秀,"西園　勝秀（にしぞの　かつひで）
比例代表（東海）選出、公明党
昭和四十三年二月千葉県船橋市に生まれる、北海道大学工学部土木工学科卒業、北海道大学大学院工学研究科修了。技術士（建設）、海洋・港湾構造物維持管理士、静岡県港湾局長、海上・港湾・航空技術研究所企画調整・防災課長、国土交通省港湾局技術基準審査官、JICA技術審議役、沿岸技術研究センター研究主幹、北海道開発局港湾計画課長、国土技術政策総合研究所津波・高潮災害研究官、復興庁参事官○公明党団体局次長、公明党静岡県観光振興局次長○当選一回（50）
（令和7年3月現在）"
西田　薫,"西田　薫（にしだ　かおる）
小選挙区（大阪府第六区）選出、日本維新の会
昭和四十二年四月大阪府守口市に生まれる、日本大学中退、参議院議員国会担当秘書、守口市議会議員、大阪府議会議員○当選一回（50）
（令和7年3月現在）"
西田　昭二,"西田　昭二（にしだ　しょうじ）
比例代表（北陸信越）選出、自由民主党・無所属の会
昭和四十四年五月石川県七尾市石崎町に生まれる、愛知学院大学商学部卒業○衆議院議員秘書、七尾市議会議員、石川県議会議員、石川県議会副議長○自由民主党石川県第三選挙区支部長、党総務、国土交通副部会長○国土交通大臣政務官、内閣府大臣政務官、復興大臣政務官、総務大臣政務官○衆議院農林水産委員、国土交通委員、外務委員、原子力問題調査特別委員、地方創生に関する特別委員、北朝鮮による拉致問題等に関する特別委員○当選三回（48 49 50）
（令和7年3月現在）"
西野　太亮,"西野　太亮（にしの　だいすけ）
小選挙区（熊本県第二区）選出、自由民主党・無所属の会
内閣府大臣政務官
昭和五十三年九月二十二日熊本県飽託郡飽田町（現・熊本市南区）生まれ、熊本高校卒業、東京大学法学部卒業、平成十五年財務省入省、米国・コロンビア大学公共政策大学院修了、復興庁参事官補佐、財務省主計局主査、令和三年十月衆議院議員○内閣府大臣政務官○当選二回（49 50）
（令和7年3月現在）"
西村　智奈美,"西村　智奈美（にしむら　ちなみ）
小選挙区（新潟県第一区）選出、立憲民主党・無所属
法務委員長
昭和四十二年一月十三日新潟県西蒲原郡吉田町米納津に生まれる。新潟大学大学院法学研究科修了○新潟県議会議員（一期）○大学非常勤講師、NVC新潟国際ボランティアセンター事務局長○厚生労働副大臣、外務大臣政務官○民主党ネクスト子ども・男女共同参画担当副大臣、党総務委員長代理・国際局長、党新潟県連代表、民進党ネクスト厚生労働副大臣、党政務調査会長代理、党団体交流委員長、立憲民主党幹事長、党代表代行、党ジェンダー平等推進本部長、党団体交流委員長、党自治制度調査会長、党社会保障調査会長、党新潟県連代表○衆議院法務委員長○当選七回（43 44 45 47 48 49 50）
（令和7年3月現在）"
